site_number	state	sequence_number	attendance_schedule
12402.5*A	MT	1	UNATNDD
12402.51*A	MT	1	UNATNDD
12402.52*A	MT	1	UNATNDD
12402.6*A	MT	1	UNATNDD
12403.05*A	MT	1	UNATNDD
12403.5*A	MT	1	UNATNDD
12404.*A	MT	1	UNATNDD
12404.4*A	MT	1	UNATNDD
12405.*A	MT	1	UNATNDD
12408.*A	MT	1	UNATNDD
12417.*A	MT	1	ALL/ALL/0800-1700
12417.02*A	MT	1	UNATNDD
12417.03*A	MT	1	UNATNDD
12417.04*H	MT	1	IRREG
12417.1*A	MT	1	UNATNDD
12417.2*H	MT	1	ALL/ALL/ALL
12417.3*A	MT	1	APR-NOV/ALL/ALL
12417.3*A	MT	2	DEC-MAR/SAT-SUN/ALL
12417.5*A	MT	1	UNATNDD
12417.6*A	MT	1	UNATNDD
12417.7*A	MT	1	UNATNDD
12417.8*A	MT	1	UNATNDD
12417.9*A	MT	1	UNATNDD
12418.*A	MT	1	ALL/ALL/ALL
12419.5*A	MT	1	UNATNDD
12420.*A	MT	1	UNATNDD
12420.81*A	MT	1	UNATNDD
12421.*A	MT	1	UNATNDD
12422.*A	MT	1	ALL/MON-FRI/0800-1700
12422.*A	MT	2	ALL/SAT-SUN/INTERMITTANT
12422.01*A	MT	1	UNATNDD
12422.02*A	MT	1	UNATNDD
12423.1*A	MT	1	UNATNDD
12426.*A	MT	1	ALL/MON-FRI/0800-1700
12426.03*H	MT	1	ALL/ALL/ALL
12429.11*A	MT	1	ALL/ALL/ALL
12430.01*A	MT	1	MAY-OCT/ALL/ALL
12430.1*A	MT	1	UNATNDD
12430.2*A	MT	1	UNATNDD
12433.*A	MT	1	ALL/ALL/0800-1700
12435.*A	MT	1	UNATNDD
12436.*A	MT	1	UNATNDD
12438.1*A	MT	1	ALL/ALL/ALL
12439.*A	MT	1	ALL/ALL/DALGT
12439.01*A	MT	1	ALL/ALL/ALL
12439.02*A	MT	1	UNATNDD
12443.*A	MT	1	UNATNDD
12450.*A	MT	1	ALL/ALL/DALGT
12450.01*H	MT	1	ALL/ALL/ALL
12450.1*A	MT	1	ALL/ALL/ALL
12453.*A	MT	1	ALL/ALL/ALL
12453.01*H	MT	1	ALL/ALL/ALL
12453.012*H	MT	1	ALL/ALL/ALL
12453.014*H	MT	1	ALL/MON-SAT/DAWN-DUSK
12453.02*H	MT	1	ALL/MON-FRI/0900-1700
12464.2*A	MT	1	UNATNDD
12464.21*A	MT	1	UNATNDD
12466.*A	MT	1	UNATNDD
12467.*A	MT	1	UNATNDD
12467.01*H	MT	1	ALL/ALL/ALL
12467.02*A	MT	1	UNATNDD
12468.*A	MT	1	UNATNDD
12468.01*H	MT	1	ALL/ALL/ALL
12470.*A	MT	1	UNATNDD
12473.*A	MT	1	UNATNDD
12473.02*A	MT	1	UNATNDD
12474.*A	MT	1	ALL/ALL/0800-1700
12478.01*A	MT	1	UNATNDD
12478.02*A	MT	1	ALL/ALL/ALL
12479.*A	MT	1	UNATNDD
12483.*A	MT	1	UNATNDD
12483.01*H	MT	1	ALL/ALL/ALL
12484.01*A	MT	1	UNATNDD
12484.95*A	MT	1	UNATNDD
12485.*A	MT	1	UNATNDD
12485.01*A	MT	1	UNATNDD
12489.*A	MT	1	UNATNDD
12489.5*A	MT	1	UNATNDD
12490.*A	MT	1	UNATNDD
12490.7*A	MT	1	UNATNDD
12490.71*A	MT	1	IRREGULAR
12491.3*A	MT	1	ALL/ALL/ALL
12492.3*A	MT	1	UNATNDD
12492.41*A	MT	1	ALL/ALL/DALGT
12494.*A	MT	1	UNATNDD
12495.*A	MT	1	ALL/M-F/0800-1700
12495.1*A	MT	1	UNATNDD
12496.*A	MT	1	ALL/ALL/IREG
12496.1*A	MT	1	UNATNDD
12496.11*C	MT	3	ALL/ALL/ALL
12499.*A	MT	1	ALL/MON-FRI/0800-1800
12503.*A	MT	1	ALL/ALL/0600-1900
12508.*H	MT	1	UNATNDD
12511.*A	MT	1	UNATNDD
12512.*A	MT	1	IRREG
12513.*A	MT	1	UNATNDD
12513.01*A	MT	1	UNATNDD
12513.02*A	MT	1	UNATNDD
12513.03*H	MT	1	ALL/ALL/ALL
12513.04*A	MT	1	ALL/ALL/DAWN-DUSK
12516.01*H	MT	1	ALL/ALL/ALL
12516.1*A	MT	1	UNATNDD
12518.*A	MT	1	UNATNDD
12523.*A	MT	1	ALL/ALL/ALL
12525.*A	MT	2	UNATNDD
12525.2*A	MT	1	MAY-AUG/ALL/0700-1900
12529.*A	MT	1	ALL/ALL/ALL
12529.01*A	MT	1	UNATNDD
12529.4*A	MT	1	UNATNDD
12531.*A	MT	1	UNATNDD
12531.01*A	MT	1	ALL/ALL/ALL
12531.1*A	MT	1	UNATNDD
12533.01*A	MT	1	UNATNDD
12534.*A	MT	1	UNATNDD
12535.*A	MT	1	ALL/MON-FRI/DAWN-DUSK
12537.*A	MT	1	ALL/MON-FRI/0800-1700
12538.5*A	MT	1	UNATNDD
12540.*A	MT	2	UNATNDD
12546.*H	MT	1	ALL/ALL/ALL
12546.01*H	MT	1	UNATNDD
12546.02*A	MT	1	
12546.02*A	MT	2	UNATNDD
12549.1*A	MT	1	JUN-SEP/ALL/0800-1800
12552.*A	MT	1	UNATNDD
12552.1*A	MT	1	UNATNDD
12554.*A	MT	1	ALL/ALL/DALGT
12558.1*A	MT	1	UNATNDD
12565.3*A	MT	1	UNATNDD
12565.8*A	MT	1	UNATNDD
12565.81*A	MT	1	UNATNDD
12565.82*A	MT	1	UNATNDD
12565.83*A	MT	1	UNATNDD
12565.84*A	MT	1	UNATNDD
12565.85*A	MT	1	UNATNDD
12565.86*A	MT	1	UNATNDD
12565.9*A	MT	1	IRREG
12567.*A	MT	1	UNATNDD
12571.*A	MT	1	UNATNDD
12572.*A	MT	1	UNATNDD
12573.*A	MT	1	ALL/MON-FRI/0600-1930
12573.11*A	MT	1	ALL/ALL/ALL
12576.*A	MT	1	UNATNDD
12591.*A	NE	1	ALL/MON-FRI/0800-1700
12594.1*A	NE	1	UNATNDD
12597.*A	NE	1	ALL/ALL/ALL
12597.01*H	NE	1	UNATNDD
12598.*A	NE	1	UNATNDD
12598.1*C	NE	1	UNATNDD
12608.01*A	NE	1	ALL/ALL/0900 - 2000
12609.*A	NE	1	UNATNDD
12612.*A	NE	1	UNATNDD
12612.02*A	NE	1	UNATNDD
12612.7*A	NE	1	UNATNDD
12614.11*A	NE	1	UNATNDD
12621.*A	NE	1	UNATNDD
12621.01*H	NE	1	UNATNDD
12623.*H	NE	1	ALL/ALL/ALL
12623.1*A	NE	1	ALL/MON-FRI/0800-1700
12623.6*A	NE	1	UNATNDD
12623.7*A	NE	1	IREG
12623.9*A	NE	1	UNATNDD
12624.*A	NE	1	ALL/ALL/DALGT
12629.*A	NE	1	ALL/ALL/0700-1900
12638.1*A	NE	1	ALL/ALL/DALGT
12638.12*A	NE	1	IREG
12639.5*A	NE	1	ALL/ALL/ALL
12645.1*A	NE	1	UNATNDD
12645.11*A	NE	1	ON CALL
12648.*A	NE	1	ALL/MON-FRI/0800-1700
12652.*A	NE	1	UNATNDD
12658.2*A	NE	1	ALL/ALL/ALL
12659.*A	NE	1	UNATTENDED
12659.51*A	NE	1	UNATNDD
12659.712*A	NE	1	UNATNDD
12665.5*A	NE	1	UNATNDD
12668.*A	NE	1	UNATNDD
12669.8*A	NE	1	UNATNDD
12669.81*A	NE	1	UNATNDD
12669.9*A	NE	1	ALL/MON-SAT/0800-1800
12669.91*H	NE	1	UNATNDD
12670.33*A	NE	1	UNATNDD
12670.35*A	NE	1	ALL/ALL/ALL
12671.2*A	NE	2	ALL/MON-FRI/0700-1830
12671.2*A	NE	3	ALL/SAT/0700-1200
12674.*A	NE	1	ALL/ALL/0800-1600
12674.01*H	NE	1	UNATNDD
12675.8*A	NE	1	ALL/ALL/ALL
12677.1*A	NE	1	UNATNDD
12677.5*A	NE	1	ALL/ALL/ALL
12681.*A	NE	1	ALL/ALL/DALGT
12681.12*A	NE	1	UNATNDD
12684.*A	NE	1	ALL/MON-FRI/0800-1700
12693.*A	NE	1	UNATNDD
12694.*A	NE	1	ALL/ALL/0800-1800
12695.51*A	NE	1	UNATNDD
12695.61*A	NE	1	UNATNDD
12697.*A	NE	1	MAY-SEP/MON-FRI/0800-1700
12697.2*A	NE	1	UNATNDD
12697.81*A	NE	1	UNATNDD
12699.*A	NE	1	UNATNDD
12700.6*A	NE	1	UNATNDD
12701.431*A	NE	1	UNATNDD
12702.21*A	NE	1	ALL/MON-SAT/0800-1800
12702.22*H	NE	1	ALL/ALL/ALL
12702.31*A	NE	1	ALL/ALL/DAWN-DUSK
12702.51*A	NE	1	MAY-AUG/ALL/0500-2100
12703.*A	NE	1	UNATNDD
12704.*A	NE	1	UNATNDD
12704.01*H	NE	1	UNATNDD
12705.*A	NE	1	ALL/MON-FRI/0800-1700
12707.1*A	NE	1	ALL/ALL/0800-1700
12707.5*H	NE	1	UNATNDD
12707.91*A	NE	1	UNATNDD
12714.*A	NE	1	UNATNDD
12714.02*H	NE	1	ALL/ALL/ALL
12716.*A	NE	1	ALL/ALL/0700-2000
12720.*A	NE	1	UNATNDD
12729.5*A	NE	1	UNATNDD
12736.*A	NE	1	ALL/MON-FRI/0800-1700
12739.1*A	NE	1	UNATNDD
12741.*A	NE	1	ALL/MON-FRI/DALGT
12741.1*A	NE	1	JUN-AUG/SUN-SAT/DAWN-DUSK
12741.12*H	NE	1	ALL/ALL/ALL
12742.5*A	NE	1	IREG
12743.*A	NE	1	ALL/ALL/ALL
12743.01*H	NE	1	ALL/ALL/ALL
12748.*A	NE	1	ALL/ALL/0800-1700
12748.02*A	NE	1	
12748.02*A	NE	2	UNATNDD
12748.1*A	NE	1	UNATNDD
12748.32*A	NE	1	UNATNDD
12748.4*A	NE	1	UNATNDD
12749.*A	NE	1	UNATNDD
12750.8*A	NE	1	IREG
12751.42*A	NE	1	UNATNDD
12752.4*A	NE	1	ALL/ALL/ALL
12753.*A	NE	1	UNATNDD
12755.*A	NE	1	ALL/MON-FRI/0800-1700
12755.01*H	NE	1	UNATNDD
12759.1*A	NE	1	UNATNDD
12759.11*A	NE	1	UNATNDD
12761.*A	NE	1	UNATNDD
12764.*A	NE	1	UNATNDD
12764.21*A	NE	1	UNATNDD
12764.43*A	NE	1	UNATNDD
12764.44*A	NE	1	INTERMITANT
12765.*A	NE	1	UNATNDD
12765.006*A	NE	1	UNATT
12766.*A	NE	1	ALL/MON-FRI/0800-1700
12766.1*A	NE	1	IREG
12766.12*A	NE	1	ALL/MON-FRI/0800-1700
12767.2*A	NE	1	UNATNDD
12774.4*A	NE	1	UNATNDD
12774.41*A	NE	1	UNATNDD
12776.*A	NE	1	ALL/MON-FRI/0800-1700
12779.025*A	NE	1	UNATNDD
12781.*A	NE	1	ALL/ALL/ALL
12783.*A	NE	1	ALL/ALL/0600-2000
12783.01*H	NE	1	ALL/ALL/ALL
12785.2*A	NE	1	UNATTENDED
12786.11*A	NE	1	UNATNDD
12786.12*A	NE	1	UNATNDD
12787.*A	NE	1	UNATNDD
12787.5*A	NE	1	IREG
12790.*A	NE	1	ALL/MON-FRI/0800-1700
12790.*A	NE	2	ALL/SAT/0800-1200
12790.5*A	NE	1	ALL/ALL/ALL
12792.*A	NE	1	ALL/ALL/ALL
12792.2*H	NE	1	UNATNDD
12792.21*H	NE	1	UNATNDD
12792.23*H	NE	1	ALL/ALL/ALL
12792.3*A	NE	1	UNATNDD
12794.*A	NE	1	ALL/ALL/ALL
12794.5*A	NE	1	UNATNDD
12805.22*A	NE	1	UNATNDD
12805.3*A	NE	1	ALL/ALL/DALGT
12806.1*A	NE	1	ALL/ALL/ALL
12808.*A	NE	1	ALL/ALL/DALGT
12808.6*H	NE	1	UNATNDD
12809.12*A	NE	1	UNATNDD
12809.122*A	NE	1	UNATNDD
12811.*A	NE	1	UNATNDD
12812.75*A	NE	1	UNATNDD
12813.1*A	NE	1	UNATNDD
12814.6*A	NE	1	UNATNDD
12815.*A	NE	1	JAN-DEC/MON-SAT/0800-1800
12817.*A	NE	1	ALL/ALL/0700-1700
12817.2*A	NE	1	UNATNDD
12822.*A	NE	1	UNATNDD
12823.1*A	NE	1	UNATNDD
12823.46*A	NE	1	ALL/ALL/DALGT
12824.11*A	NE	1	ALL/MON-FRI/0800-1700
12826.*A	NE	1	ALL/MON-FRI/0800-1700
12836.*A	NE	1	ALL/ALL/DALGT
12836.1*A	NE	1	ALL/SAT-SUN/ALL
12836.2*H	NE	1	UNATNDD
12842.*A	NE	1	ALL/ALL/0600-2300
12842.03*H	NE	1	UNATNDD
12842.05*A	NE	1	UNATNDD
12842.2*H	NE	1	UNATNDD
12847.4*H	NE	1	ALL/ALL/ALL
12848.*A	NE	1	ALL/MON-FRI/0730-1630
12849.*A	NE	1	ALL/ALL/ALL
12853.1*A	NE	1	ALL/MON-FRI/0600-2200
12853.1*A	NE	2	ALL/SAT-SUN/0700-1900
12853.22*H	NE	1	ALL/ALL/ALL
12853.3*H	NE	1	ALL/ALL/ALL
12853.31*H	NE	1	ALL/ALL/ALL
12853.32*H	NE	1	ALL/ALL/ALL
12853.4*A	NE	1	UNATNDD
12854.*A	NE	1	ALL/ALL/ALL
12854.11*H	NE	1	UNATNDD
12855.*A	NE	1	ALL/ALL/DAWN-DUSK
12855.14*A	NE	1	ALL/ALL/0630-2100
12856.*A	NE	1	ALL/ALL/0700-1800
12861.*A	NE	1	ALL/ALL/0800-1700
12865.*A	NE	1	UNATNDD
12873.53*A	NE	1	UNATNDD
12873.93*A	NE	1	UNATNDD
12874.9*A	NE	1	ON CALL
12875.*A	NE	1	ALL/ALL/DALGT
12875.01*A	NE	1	UNATNDD
12878.1*A	NE	1	UNATNDD
12878.2*H	NE	1	UNATNDD
12889.2*A	NE	2	ALL/TUE-SAT/0800-1700
12893.75*A	NE	1	ALL/ALL/ALL
12894.75*A	NE	1	ALL/ALL/DAWN-1900
12895.1*A	NE	1	UNATNDD
12896.78*A	NE	1	UNATNDD
12897.4*A	NE	1	UNATNDD
12902.*A	NE	1	UNATNDD
12910.7*A	NE	1	IREG
12911.*A	NE	1	UNATNDD
12915.*A	NE	1	ALL/ALL/0600-2100
12915.1*A	NE	1	UNATNDD
12915.12*H	NE	1	ALL/ALL/ALL
12917.*A	NE	1	ALL/MON-FRI/0730-1600
12920.01*H	NE	1	ALL/ALL/ALL
12920.12*A	NE	1	ALL/MON-SAT/0800-1700
12920.13*A	NE	1	ALL/ALL/ALL
12925.*A	NE	1	UNATNDD
12927.*A	NE	1	ALL/ALL/0700-1800
12927.1*A	NE	1	UNATNDD
12928.5*A	NE	1	ALL/ALL/0800-DUSK
12930.21*A	NE	1	UNATNDD
12930.9*A	NE	1	UNATNDD
12932.12*A	NE	1	UNATNDD
12932.122*A	NE	1	ALL/ALL/DALGT
12933.*A	NE	1	UNATNDD
12940.*A	NE	1	ALL/MON-FRI/0800-1700
12940.1*A	NE	1	ALL/ALL/ALL
12942.1*A	NE	1	UNATNDD
12942.2*A	NE	1	UNATNDD
12942.8*H	NE	1	ALL/MON-FRI/0800-1600
12944.01*A	NE	1	UNATNDD
12944.11*H	NE	1	IREG
12946.1*A	NE	1	ALL/MON-FRI/0800-1700
12951.11*A	NE	1	UNATNDD
12957.*A	NE	1	UNATNDD
12958.1*A	NE	1	UNATNDD
12960.*A	NE	1	ALL/MON-SAT/0800-1700
12960.61*H	NE	1	ALL/ALL/ON CALL
12960.62*A	NE	1	UNATNDD
12963.31*A	NE	1	UNATNDD
12964.*A	NE	1	ALL/ALL/DAWN-DUSK
12965.12*A	NE	1	UNATNDD
12966.*A	NE	1	APR-AUG/ALL/DAWN-DUSK
12966.02*A	NE	1	IREG
12967.*A	NE	1	UNATNDD
12968.7*A	NE	1	UNATNDD
12974.*A	NE	1	ALL/ALL/DAWN - DUSK
12977.*A	NE	1	ALL/ALL/DALGT
12979.*A	NE	1	UNATNDD
12989.*A	NE	1	ALL/ALL/DALGT
12993.01*A	NE	1	ALL/ALL/0700-1700
12993.02*A	NE	1	UNATNDD
13011.*A	NV	1	UNATNDD
13012.*A	NV	1	UNATNDD
13012.16*A	NV	1	UNATNDD
13012.17*A	NV	1	UNATNDD
13013.2*A	NV	1	UNATNDD
13013.3*A	NV	1	UNATNDD
13013.4*A	NV	1	UNATNDD
13016.*A	NV	1	OCT-MAY/ALL/0700-1700
13016.*A	NV	2	JUN-SEP/ALL/0700-1800
13016.02*H	NV	1	ALL/ALL/ALL
13016.1*A	NV	1	ON CALL
13020.1*A	NV	1	UNATNDD
13027.11*A	NV	1	ALL/ALL/0800-1700
13034.5*A	NV	1	ALL/ALL/ALL
13042.*A	NV	3	ALL/ALL/0600-2000
13042.01*A	NV	1	UNATNDD
13042.02*H	NV	1	ALL/ALL/ALL
13042.04*H	NV	1	UNATNDD
13044.2*A	NV	1	UNATNDD
13044.3*A	NV	1	UNATNDD
13044.4*A	NV	1	UNATNDD
13044.8*A	NV	1	UNATNDD
13045.*A	NV	1	UNATNDD
13046.*A	NV	1	UNATNDD
13047.01*A	NV	1	UNATNDD
13047.2*A	NV	1	UNATNDD
13047.3*A	NV	1	UNATNDD
13048.*A	NV	1	ALL/ALL/0500-1900
13048.02*A	NV	1	UNATNDD
13048.14*H	NV	1	ALL/ALL/ALL
13051.*A	NV	1	ALL/ALL/0800-1700
13051.02*A	NV	1	UNATNDD
13051.23*A	NV	1	UNATNDD
13052.*A	NV	1	UNATNDD
13054.*A	NV	1	ALL/ALL/0800-1700
13057.*A	NV	1	ALL/MON-FRI/1530-0700Z
13057.*A	NV	2	ALL/SAT/1800-0200Z++
13057.*A	NV	3	ALL/SUN/2000-0200Z++
13057.1*A	NV	1	ALL/ALL/0800-1700
13057.2*A	NV	1	UNATNDD
13057.21*A	NV	1	UNATNDD
13057.22*A	NV	1	UNATNDD
13060.*A	NV	1	UNATNDD
13062.*A	NV	1	UNATNDD
13062.7*A	NV	1	UNATNDD
13064.5*A	NV	1	UNATNDD
13064.51*A	NV	1	UNATNDD
13064.54*A	NV	1	IRREGULAR/ /0600-1900
13070.*A	NV	1	UNATNDD
13070.07*A	NV	1	UNATNDD
13072.*A	NV	1	UNATNDD
13073.*H	NV	1	ALL/ALL/ALL
13073.08*H	NV	1	ALL/ALL/ALL
13073.2*H	NV	1	ALL/ALL/ALL
13079.*A	NV	1	ALL
13079.25*A	NV	1	ON CALL
13079.5*A	NV	1	UNATNDD
13079.6*A	NV	1	UNATNDD
13080.*A	NV	1	UNATNDD
13081.*A	NV	1	ALL/ALL/ALL
13082.*A	NV	1	ALL/ALL/0600-2230
13082.1*H	NV	1	ALL/ALL/ALL
13082.13*H	NV	1	UNATNDD
13082.17*H	NV	1	ALL/ALL/ALL
13082.18*H	NV	1	ALL/ALL/ALL
13082.21*H	NV	1	ALL/ALL/ALL
13083.*A	NV	1	ALL/ALL/ALL
13083.19*H	NV	1	ALL/ALL/ALL
13083.27*H	NV	1	ALL/ALL/ALL
13083.29*A	NV	1	ALL/ALL/0500-2200
13083.3*H	NV	1	UNATNDD
13083.31*H	NV	1	UNATNDD
13083.4*H	NV	1	UNATNDD
13083.78*H	NV	1	ALL/ALL/ALL
13084.*A	NV	1	UNATNDD
13085.*A	NV	1	UNATNDD
13085.16*H	NV	1	ALL/ALL/ALL
13089.13*H	NV	1	ALL/ALL/ALL
13089.6*A	NV	1	UNATNDD
13089.61*A	NV	1	UNATNDD
13089.62*A	NV	1	UNATNDD
13089.7*A	NV	1	ALL/ALL/0700-1700
13089.73*H	NV	1	UNATNDD
13090.5*A	NV	1	UNATNDD
13091.*A	NV	2	ALL/ALL/0800-1700
13095.1*A	NV	1	UNATNDD
13095.12*A	NV	1	IREG
13097.*A	NV	1	UNATNDD
13098.5*H	NV	1	UNATNDD
13100.21*A	NV	1	UNATNDD
13101.05*H	NV	1	UNATNDD
13104.*A	NV	1	ALL/THUR-MON/DALGT
13104.1*A	NV	1	ON CALL
13106.*A	NV	1	UNATNDD
13106.74*A	NV	1	UNATNDD
13106.75*A	NV	1	UNATNDD
13106.77*H	NV	1	ALL/SUN-SAT/0600-2000
13106.79*H	NV	1	UNATNDD
13106.81*A	NV	1	UNATNDD
13106.83*U	NV	1	UNATNDD
13106.84*H	NV	1	ALL/ALL/ALL
13108.*A	NV	1	ALL/ALL/ALL
13123.*A	NV	1	ALL/ALL/ALL
13123.01*A	NV	1	UNATNDD
13123.05*H	NV	1	ALL/ALL/ALL
13123.06*H	NV	1	ALL/ALL/ALL
13123.09*H	NV	1	ALL/ALL/ALL
13123.1*A	NV	1	UNATNDD
13123.13*A	NV	1	UNATNDD
13124.*A	NV	1	ALL/ALL/0800-1700
13126.*A	NV	1	ALL/ALL/ALL
13126.2*A	NV	1	UNATNDD
13126.93*A	NV	1	UNATNDD
13128.06*H	NV	1	UNATNDD
13128.07*H	NV	1	UNATNDD
13128.08*H	NV	1	UNATNDD
13128.3*A	NV	1	IREG
13128.31*H	NV	1	UNATNDD
13128.4*A	NV	1	UNATNDD
13130.1*A	NV	1	UNATNDD
13133.4*A	NV	1	ALL/ALL/0700-1900
13134.*A	NV	1	UNATNDD
13134.1*A	NV	1	UNATNDD
13135.2*H	NV	1	UNATNDD
13135.21*G	NV	1	JUN-SEP/ALL/NOON-DUSK
13135.21*G	NV	2	OCT-MAY/SAT-SUN/NOON-DUSK
13135.213*A	NV	1	UNATNDD
13135.214*A	NV	1	UNATNDD
13138.*A	NV	1	ALL/ALL/0600-2300
13138.1*A	NV	1	ALL
13143.1*A	NV	1	UNATNDD
13155.20*A	NV	1	UNATNDD
13155.52*A	NV	1	IREG
13155.6*A	NV	1	UNATNDD
13157.*A	NV	2	UNATNDD
13157.01*A	NV	1	UNATNDD
13161.*A	NV	2	JUN-OCT/ALL/0700-1800
13161.*A	NV	3	NOV-MAY/MON -FRI/0800-1700
13161.01*A	NV	1	UNATNDD
13161.02*H	NV	1	ALL/ALL/ALL
13163.*A	NV	1	ALL/MON-FRI/0700-1800
13163.*A	NV	2	ALL/SAT-SUN/IREG
13163.01*A	NV	1	UNATNDD
13180.*A	NH	1	UNATNDD
13181.*H	NH	1	UNATNDD
13181.05*H	NH	1	UNATNDD
13181.19*H	NH	1	UNATNDD
13182.*C	NH	1	UNATNDD
13184.*A	NH	1	UNATNDD
13190.*H	NH	1	UNATNDD
13193.3*A	NH	1	UNATNDD
13199.*A	NH	1	IREG
13200.5*H	NH	1	IREG
13200.51*H	NH	1	UNATNDD
13200.52*H	NH	1	UNATNDD
13201.*A	NH	1	ALL/ALL/0800-1600
13201.01*H	NH	1	ALL/ALL/ALL
13208.04*H	NH	1	UNATNDD
13209.*A	NH	1	UNATNDD
13209.019*H	NH	1	UNATNDD
13210.*A	NH	1	UNATNDD
13210.8*A	NH	1	UNATNDD
13213.1*A	NH	1	UNATNDD
13213.2*H	NH	1	UNATNDD
13213.9*A	ME	1	UNATNDD
13215.*A	NH	1	UNATNDD
13218.*A	NH	1	ALL/MON-FRI/1000-1600
13220.*A	NH	1	UNATNDD
13224.*A	NH	1	ALL/ALL/0700-1700
13224.01*H	NH	1	UNATNDD
13224.04*H	NH	1	UNATNDD
13224.19*H	NH	1	UNATNDD
13226.25*H	NH	1	UNATNDD
13228.03*H	NH	1	UNATNDD
13229.*H	NH	1	UNATNDD
13229.1*H	NH	1	UNATNDD
13231.12*H	NH	1	UNATT
13231.5*H	NH	1	UNATNDD
13233.*C	NH	1	UNATNDD
13235.*H	NH	1	UNATNDD
13238.*A	NH	1	UNATNDD
13241.*A	NH	3	UNATNDD
13245.*H	NH	1	UNATNDD
13245.1*H	NH	1	ALL/ALL/ALL
13256.*A	NH	1	UNATNDD
13256.18*A	NH	1	IREG
13256.6*H	NH	1	UNATNDD
13256.61*H	NH	1	UNATNDD
13258.19*H	NH	1	UNATNDD
13259.271*A	NH	1	ALL/ALL/DALGT
13259.3*A	NH	1	UNATNDD
13260.*H	NH	1	UNATNDD
13260.018*H	NH	1	ALL/ALL/0700-DUSK
13261.*H	NH	1	UNATNDD
13261.01*H	NH	1	UNATNDD
13261.5*H	NH	1	UNATNDD
13262.*A	NH	1	ALL/ALL/0800-1600
13262.01*H	NH	1	ALL/ALL/ALL
13262.02*H	NH	1	ALL/MON-FRI/0730-1700
13265.*H	NH	1	UNATNDD
13281.*A	NH	1	ALL/SATURDAY/0900-1200
13285.*A	NH	1	UNATNDD
13285.05*H	NH	1	UNATNDD
13287.*A	NH	1	UNATNDD
13287.01*H	NH	1	IREG
13292.*H	NH	1	UNATNDD
13293.2*C	NH	1	UNATNDD
13294.*H	NH	1	UNATNDD
13294.01*H	NH	1	UNATNDD
13294.11*H	NH	1	UNATNDD
13298.*A	NH	1	ALL/ALL/0800-DUSK
13298.1*H	NH	1	UNATNDD
13306.*A	NH	1	ALL/MON-FRI/0700-1900
13306.*A	NH	2	ALL/SAT-SUN/0700-1700
13306.01*H	NH	1	UNATNDD
13307.*H	NH	1	UNATNDD
13307.01*A	NH	1	UNATNDD
13307.02*A	NH	1	UNATNDD
13312.*A	NH	1	MAY-OCT/ALL/0700-1900
13312.*A	NH	2	NOV-APR/ALL/0800-1800
13312.15*H	NH	1	ALL/ALL/ALL
13315.21*H	NH	1	UNATNDD
13317.*A	NH	1	ALL/ALL/0600-2200
13317.01*H	NH	1	ALL/ALL/ALL
13317.02*H	NH	1	UNATNDD
13318.*H	NH	1	UNATNDD
13319.*H	NH	1	UNATNDD
13320.*H	NH	1	UNATNDD
13320.01*H	NH	1	UNATNDD
13320.1*H	NH	1	ALL/ALL/ALL
13320.2*H	NH	1	UNATNDD
13320.3*H	NH	1	UNATNDD
13321.*A	NH	1	UNATNDD
13332.*A	NH	1	ALL/ALL/ALL
13332.01*H	NH	1	UNATNDD
13332.12*H	NH	1	UNATNDD
13333.5*A	NH	1	UNATNDD
13333.51*A	NH	1	UNATNDD
13336.*C	NH	1	UNATNDD
13336.1*H	NH	1	UNATNDD
13336.2*H	NH	1	UNATNDD
13336.6*H	NH	1	UNATNDD
13338.06*H	NH	1	UNATT
13338.1*H	NH	1	ALL/MON-FRI/0900-1700
13338.11*H	NH	1	UNATNDD
13339.24*A	NH	1	ALL/ALL/ALL
13340.*H	NH	1	UNATNDD
13340.01*H	NH	1	UNATNDD
13340.02*H	NH	1	UNATNDD
13345.01*A	NH	1	ALL/MON-FRI/0900-1800
13345.1*H	NH	1	UNATNDD
13349.12*H	NH	1	ALL/MON-FRI/0900-1700
13349.2*H	NH	1	UNATNDD
13349.3*H	NH	1	UNATNDD
13350.*A	NH	1	ALL/ALL/0700-2100
13350.07*C	NH	1	UNATT
13351.6*H	NH	1	UNATNDD
13351.61*H	NH	1	UNATNDD
13351.65*H	NH	1	UNATNDD
13351.7*A	NH	1	UNATNDD
13351.8*C	NH	1	UNATNDD
13352.*A	NH	1	AL/ALL/DALGT
13353.*A	NH	1	IREG
13356.02*H	NH	1	UNATNDD
13356.03*H	NH	1	UNATNDD
13356.05*H	NH	1	UNATNDD
13357.*A	NH	1	UNATNDD
13359.*A	NH	1	UNATNDD
13365.35*H	NH	1	UNATNDD
13376.*A	NH	1	ALL/ALL/ALL
13376.1*H	NH	1	UNATNDD
13376.2*H	NH	1	UNATNDD
13379.01*H	NH	1	ALL/MON-SAT/0700-1700
13379.5*H	NH	1	UNATNDD
13379.8*H	NH	1	UNATNDD
13380.01*H	NH	1	ALL/ALL/ALL
13380.02*H	NH	1	UNATNDD
13380.03*H	NH	1	UNATNDD
13383.*A	NH	1	IREG
13383.01*H	NH	1	UNATNDD
13383.04*H	NH	1	UNATNDD
13386.*A	NH	1	ALL/ALL/ALL
13386.16*H	NH	1	UNATNDD
13390.*H	NH	1	UNATNDD
